source_reference,page_slug,occurrence_count,html_context,local_file_exists,rendered_interactive_status,status_404,safe_to_remove,reason
/images/IMG-20220416-WA0086.jpg,education,1,<a href> hyperlink target,NO,Clickable link target; clicking opens 404 page in browser,YES (404 Not Found),YES,Legacy reference to missing file 'IMG-20220416-WA0086.jpg'; removal eliminates 404 request/broken link without altering page layout
/images/IMG-20250206-WA0013-1024x576.jpg,home,1,<img> tag srcset candidate,NO,Rendered image element; browser attempts HTTP GET resulting in 404,YES (404 Not Found),YES,Legacy reference to missing file 'IMG-20250206-WA0013-1024x576.jpg'; removal eliminates 404 request/broken link without altering page layout
/images/IMG-20250206-WA0013-768x432.jpg,home,1,legacy HTML string fragment,NO,Legacy HTML string fragment; produces 404 if accessed,YES (404 Not Found),YES,Legacy reference to missing file 'IMG-20250206-WA0013-768x432.jpg'; removal eliminates 404 request/broken link without altering page layout
/images/IMG-20250206-WA0013.jpg,home,1,legacy HTML string fragment,NO,Legacy HTML string fragment; produces 404 if accessed,YES (404 Not Found),YES,Legacy reference to missing file 'IMG-20250206-WA0013.jpg'; removal eliminates 404 request/broken link without altering page layout
/images/IMG20220416105337-scaled.jpg,education,1,<a href> hyperlink target,NO,Clickable link target; clicking opens 404 page in browser,YES (404 Not Found),YES,Legacy reference to missing file 'IMG20220416105337-scaled.jpg'; removal eliminates 404 request/broken link without altering page layout
/images/IMG20220416105414-scaled.jpg,education,1,<a href> hyperlink target,NO,Clickable link target; clicking opens 404 page in browser,YES (404 Not Found),YES,Legacy reference to missing file 'IMG20220416105414-scaled.jpg'; removal eliminates 404 request/broken link without altering page layout
/images/IMG20220416105427-scaled.jpg,education,1,<a href> hyperlink target,NO,Clickable link target; clicking opens 404 page in browser,YES (404 Not Found),YES,Legacy reference to missing file 'IMG20220416105427-scaled.jpg'; removal eliminates 404 request/broken link without altering page layout
/images/IMG20220416105431-scaled.jpg,education,1,<a href> hyperlink target,NO,Clickable link target; clicking opens 404 page in browser,YES (404 Not Found),YES,Legacy reference to missing file 'IMG20220416105431-scaled.jpg'; removal eliminates 404 request/broken link without altering page layout
/images/IMG20220416105455-scaled.jpg,education,1,<a href> hyperlink target,NO,Clickable link target; clicking opens 404 page in browser,YES (404 Not Found),YES,Legacy reference to missing file 'IMG20220416105455-scaled.jpg'; removal eliminates 404 request/broken link without altering page layout
/images/IMG20220416105634-scaled.jpg,education,1,<a href> hyperlink target,NO,Clickable link target; clicking opens 404 page in browser,YES (404 Not Found),YES,Legacy reference to missing file 'IMG20220416105634-scaled.jpg'; removal eliminates 404 request/broken link without altering page layout
/images/IMG20220726120415-scaled.jpg,education,1,<a href> hyperlink target,NO,Clickable link target; clicking opens 404 page in browser,YES (404 Not Found),YES,Legacy reference to missing file 'IMG20220726120415-scaled.jpg'; removal eliminates 404 request/broken link without altering page layout
/images/IMG20220726120436-scaled.jpg,education,1,<a href> hyperlink target,NO,Clickable link target; clicking opens 404 page in browser,YES (404 Not Found),YES,Legacy reference to missing file 'IMG20220726120436-scaled.jpg'; removal eliminates 404 request/broken link without altering page layout
/images/team_6-150x150.jpg,health,6,<img> tag srcset candidate,NO,Rendered image element; browser attempts HTTP GET resulting in 404,YES (404 Not Found),YES,Legacy reference to missing file 'team_6-150x150.jpg'; removal eliminates 404 request/broken link without altering page layout
/images/team_6-300x300.jpg,health,6,<img> tag srcset candidate,NO,Rendered image element; browser attempts HTTP GET resulting in 404,YES (404 Not Found),YES,Legacy reference to missing file 'team_6-300x300.jpg'; removal eliminates 404 request/broken link without altering page layout
/images/team_6.jpg,health,6,<img> tag srcset candidate,NO,Rendered image element; browser attempts HTTP GET resulting in 404,YES (404 Not Found),YES,Legacy reference to missing file 'team_6.jpg'; removal eliminates 404 request/broken link without altering page layout
