source_reference,page_slug,html_context,local_file_exists,supabase_match,actually_rendered,current_behavior,recommended_action,reason
/images/IMG-20220416-WA0086.jpg,education,lightbox link (<a href>),NO,NO,YES,Produces 404 Not Found if requested directly by browser,REMOVE AS DEAD/UNUSED LEGACY REFERENCE,Local file missing (404) and no corresponding image variant exists in Supabase 134-file scope
/images/IMG-20250206-WA0013-1024x576.jpg,home,srcset,NO,NO,YES,Produces 404 Not Found if requested directly by browser,REMOVE AS DEAD/UNUSED LEGACY REFERENCE,Local file missing (404) and no corresponding image variant exists in Supabase 134-file scope
/images/IMG-20250206-WA0013-768x432.jpg,home,srcset,NO,NO,YES,Produces 404 Not Found if requested directly by browser,REMOVE AS DEAD/UNUSED LEGACY REFERENCE,Local file missing (404) and no corresponding image variant exists in Supabase 134-file scope
/images/IMG-20250206-WA0013.jpg,home,other,NO,NO,NO,Produces 404 Not Found if requested directly by browser,REMOVE AS DEAD/UNUSED LEGACY REFERENCE,Local file missing (404) and no corresponding image variant exists in Supabase 134-file scope
/images/IMG20220416105337-scaled.jpg,education,<a href> link,NO,NO,YES,Produces 404 Not Found if requested directly by browser,REMOVE AS DEAD/UNUSED LEGACY REFERENCE,Local file missing (404) and no corresponding image variant exists in Supabase 134-file scope
/images/IMG20220416105414-scaled.jpg,education,<a href> link,NO,NO,YES,Produces 404 Not Found if requested directly by browser,REMOVE AS DEAD/UNUSED LEGACY REFERENCE,Local file missing (404) and no corresponding image variant exists in Supabase 134-file scope
/images/IMG20220416105427-scaled.jpg,education,<a href> link,NO,NO,YES,Produces 404 Not Found if requested directly by browser,REMOVE AS DEAD/UNUSED LEGACY REFERENCE,Local file missing (404) and no corresponding image variant exists in Supabase 134-file scope
/images/IMG20220416105431-scaled.jpg,education,<a href> link,NO,NO,YES,Produces 404 Not Found if requested directly by browser,REMOVE AS DEAD/UNUSED LEGACY REFERENCE,Local file missing (404) and no corresponding image variant exists in Supabase 134-file scope
/images/IMG20220416105455-scaled.jpg,education,<a href> link,NO,NO,YES,Produces 404 Not Found if requested directly by browser,REMOVE AS DEAD/UNUSED LEGACY REFERENCE,Local file missing (404) and no corresponding image variant exists in Supabase 134-file scope
/images/IMG20220416105634-scaled.jpg,education,<a href> link,NO,NO,YES,Produces 404 Not Found if requested directly by browser,REMOVE AS DEAD/UNUSED LEGACY REFERENCE,Local file missing (404) and no corresponding image variant exists in Supabase 134-file scope
/images/IMG20220726120415-scaled.jpg,education,<a href> link,NO,NO,YES,Produces 404 Not Found if requested directly by browser,REMOVE AS DEAD/UNUSED LEGACY REFERENCE,Local file missing (404) and no corresponding image variant exists in Supabase 134-file scope
/images/IMG20220726120436-scaled.jpg,education,<a href> link,NO,NO,YES,Produces 404 Not Found if requested directly by browser,REMOVE AS DEAD/UNUSED LEGACY REFERENCE,Local file missing (404) and no corresponding image variant exists in Supabase 134-file scope
/images/IMG20220726120533_01.jpg,education,<a href> link,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'IMG20220726120533_01-150x150.jpg' exists in Supabase
/images/Profile-266x300.jpg,organization-profile,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'Profile-768x866.jpg' exists in Supabase
/images/Profile-908x1024.jpg,organization-profile,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'Profile-768x866.jpg' exists in Supabase
/images/Profile.jpg,organization-profile,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'Profile-768x866.jpg' exists in Supabase
/images/Profile1-1071x1536.jpg,organization-profile,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'Profile1-768x1102.jpg' exists in Supabase
/images/Profile1-209x300.jpg,organization-profile,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'Profile1-768x1102.jpg' exists in Supabase
/images/Profile1-714x1024.jpg,organization-profile,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'Profile1-768x1102.jpg' exists in Supabase
/images/Profile1.jpg,organization-profile,other,NO,YES,NO,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'Profile1-768x1102.jpg' exists in Supabase
/images/Profile2-232x300.jpg,organization-profile,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'Profile2-768x994.jpg' exists in Supabase
