source_reference,category,media_filename,storage_path,supabase_public_url,source_locations,notes
/images/1-1.jpg,A. SUPABASE READY,1-1.jpg,images/1-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/1-1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/1-1024x1024.jpg,A. SUPABASE READY,1-1024x1024.jpg,images/1-1024x1024.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/1-1024x1024.jpg,app\page.tsx; lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/1-2.jpg,A. SUPABASE READY,1-2.jpg,images/1-2.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/1-2.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/1-768x768.jpg,A. SUPABASE READY,1-768x768.jpg,images/1-768x768.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/1-768x768.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/1.jpeg,A. SUPABASE READY,1.jpeg,images/1.jpeg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/1.jpeg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/1.jpg,A. SUPABASE READY,1.jpg,images/1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/10-1.jpg,A. SUPABASE READY,10-1.jpg,images/10-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/10-1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/10.jpg,A. SUPABASE READY,10.jpg,images/10.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/10.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/11-1.jpg,A. SUPABASE READY,11-1.jpg,images/11-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/11-1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/11.jpg,A. SUPABASE READY,11.jpg,images/11.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/11.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/12-1.jpg,A. SUPABASE READY,12-1.jpg,images/12-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/12-1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/12.jpg,A. SUPABASE READY,12.jpg,images/12.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/12.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/13-1.jpg,A. SUPABASE READY,13-1.jpg,images/13-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/13-1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/13-2.jpg,A. SUPABASE READY,13-2.jpg,images/13-2.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/13-2.jpg,app\page.tsx; lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/13.jpg,A. SUPABASE READY,13.jpg,images/13.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/13.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/14-2.jpg,A. SUPABASE READY,14-2.jpg,images/14-2.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/14-2.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/14-3.jpg,A. SUPABASE READY,14-3.jpg,images/14-3.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/14-3.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/14.jpg,A. SUPABASE READY,14.jpg,images/14.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/14.jpg,app\page.tsx; lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/15.jpg,A. SUPABASE READY,15.jpg,images/15.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/15.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/16-1.jpg,A. SUPABASE READY,16-1.jpg,images/16-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/16-1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/16.jpg,A. SUPABASE READY,16.jpg,images/16.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/16.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
