filename,extension,file_size_bytes,status_category,target_bucket,target_storage_path,reference_locations,notes
1-1.jpg,.jpg,161609,ACTIVELY REFERENCED,yuvatejam-media,images/1-1.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
1-1024x1024.jpg,.jpg,266677,ACTIVELY REFERENCED,yuvatejam-media,images/1-1024x1024.jpg,app\page.tsx; lib\data\pages-data.ts,Referenced in 2 source file(s)
1-2.jpg,.jpg,196679,ACTIVELY REFERENCED,yuvatejam-media,images/1-2.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
1-768x768.jpg,.jpg,157008,ACTIVELY REFERENCED,yuvatejam-media,images/1-768x768.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
1.jpeg,.jpeg,76704,ACTIVELY REFERENCED,yuvatejam-media,images/1.jpeg,lib\data\pages-data.ts,Referenced in 1 source file(s)
1.jpg,.jpg,60297,ACTIVELY REFERENCED,yuvatejam-media,images/1.jpg,app\page.tsx; lib\data\pages-data.ts,Referenced in 2 source file(s)
10-1.jpg,.jpg,123763,ACTIVELY REFERENCED,yuvatejam-media,images/10-1.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
10.jpg,.jpg,97240,ACTIVELY REFERENCED,yuvatejam-media,images/10.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
11-1.jpg,.jpg,104620,ACTIVELY REFERENCED,yuvatejam-media,images/11-1.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
11.jpg,.jpg,110228,ACTIVELY REFERENCED,yuvatejam-media,images/11.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
12-1.jpg,.jpg,71327,ACTIVELY REFERENCED,yuvatejam-media,images/12-1.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
12.jpg,.jpg,87703,ACTIVELY REFERENCED,yuvatejam-media,images/12.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
13-1.jpg,.jpg,64829,ACTIVELY REFERENCED,yuvatejam-media,images/13-1.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
13-2.jpg,.jpg,231887,ACTIVELY REFERENCED,yuvatejam-media,images/13-2.jpg,app\page.tsx; lib\data\pages-data.ts,Referenced in 2 source file(s)
13.jpg,.jpg,101073,ACTIVELY REFERENCED,yuvatejam-media,images/13.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
14-2.jpg,.jpg,53553,ACTIVELY REFERENCED,yuvatejam-media,images/14-2.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
14-3.jpg,.jpg,238026,ACTIVELY REFERENCED,yuvatejam-media,images/14-3.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
14.jpg,.jpg,108619,ACTIVELY REFERENCED,yuvatejam-media,images/14.jpg,app\page.tsx; lib\data\pages-data.ts,Referenced in 2 source file(s)
15.jpg,.jpg,250145,ACTIVELY REFERENCED,yuvatejam-media,images/15.jpg,app\page.tsx; lib\data\pages-data.ts,Referenced in 2 source file(s)
16-1.jpg,.jpg,214375,ACTIVELY REFERENCED,yuvatejam-media,images/16-1.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
16.jpg,.jpg,84270,ACTIVELY REFERENCED,yuvatejam-media,images/16.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
17-1.jpg,.jpg,59607,ACTIVELY REFERENCED,yuvatejam-media,images/17-1.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
17.jpg,.jpg,63479,ACTIVELY REFERENCED,yuvatejam-media,images/17.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
18-1.jpg,.jpg,71748,ACTIVELY REFERENCED,yuvatejam-media,images/18-1.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
18.jpg,.jpg,65781,ACTIVELY REFERENCED,yuvatejam-media,images/18.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
19-e1730004655733.jpg,.jpg,64143,ACTIVELY REFERENCED,yuvatejam-media,images/19-e1730004655733.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
19.jpg,.jpg,73781,ACTIVELY REFERENCED,yuvatejam-media,images/19.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
2-1.jpg,.jpg,63884,ACTIVELY REFERENCED,yuvatejam-media,images/2-1.jpg,app\page.tsx; lib\data\pages-data.ts,Referenced in 2 source file(s)
2-2.jpg,.jpg,208275,ACTIVELY REFERENCED,yuvatejam-media,images/2-2.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
2-e1730003683288.jpg,.jpg,94095,ACTIVELY REFERENCED,yuvatejam-media,images/2-e1730003683288.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
20.jpg,.jpg,87218,ACTIVELY REFERENCED,yuvatejam-media,images/20.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
21.jpg,.jpg,138938,ACTIVELY REFERENCED,yuvatejam-media,images/21.jpg,app\page.tsx; lib\data\pages-data.ts,Referenced in 2 source file(s)
22.jpg,.jpg,209745,ACTIVELY REFERENCED,yuvatejam-media,images/22.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
23.jpg,.jpg,86870,ACTIVELY REFERENCED,yuvatejam-media,images/23.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
24.jpg,.jpg,124281,ACTIVELY REFERENCED,yuvatejam-media,images/24.jpg,app\page.tsx; lib\data\pages-data.ts,Referenced in 2 source file(s)
3-1.jpg,.jpg,177863,ACTIVELY REFERENCED,yuvatejam-media,images/3-1.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
3-1024x767.jpg,.jpg,146322,ACTIVELY REFERENCED,yuvatejam-media,images/3-1024x767.jpg,app\page.tsx; lib\data\pages-data.ts,Referenced in 2 source file(s)
3.jpg,.jpg,217948,ACTIVELY REFERENCED,yuvatejam-media,images/3.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
4-1.jpg,.jpg,54487,ACTIVELY REFERENCED,yuvatejam-media,images/4-1.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
4-2.jpg,.jpg,209913,ACTIVELY REFERENCED,yuvatejam-media,images/4-2.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
4.jpg,.jpg,100129,ACTIVELY REFERENCED,yuvatejam-media,images/4.jpg,app\page.tsx; lib\data\pages-data.ts,Referenced in 2 source file(s)
5-1.jpg,.jpg,97322,ACTIVELY REFERENCED,yuvatejam-media,images/5-1.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
5.jpg,.jpg,50229,ACTIVELY REFERENCED,yuvatejam-media,images/5.jpg,app\page.tsx; lib\data\pages-data.ts,Referenced in 2 source file(s)
6-1.jpg,.jpg,114755,ACTIVELY REFERENCED,yuvatejam-media,images/6-1.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
6-2.jpg,.jpg,224641,ACTIVELY REFERENCED,yuvatejam-media,images/6-2.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
6.jpg,.jpg,113432,ACTIVELY REFERENCED,yuvatejam-media,images/6.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
7-1.jpg,.jpg,101906,ACTIVELY REFERENCED,yuvatejam-media,images/7-1.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
7.jpg,.jpg,110228,ACTIVELY REFERENCED,yuvatejam-media,images/7.jpg,app\page.tsx; lib\data\pages-data.ts,Referenced in 2 source file(s)
8-1.jpg,.jpg,44922,ACTIVELY REFERENCED,yuvatejam-media,images/8-1.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
8.jpg,.jpg,85667,ACTIVELY REFERENCED,yuvatejam-media,images/8.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
9-1.jpg,.jpg,118642,ACTIVELY REFERENCED,yuvatejam-media,images/9-1.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
9.jpg,.jpg,59728,ACTIVELY REFERENCED,yuvatejam-media,images/9.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
AbstractClientDiscoveryStrategy.php,.php,2927,LEGACY / SKIP,SKIP,SKIP,N/A,Legacy non-media file (PHP/JS/CSS/TXT script dump)
AiClient.php,.php,17360,LEGACY / SKIP,SKIP,SKIP,N/A,Legacy non-media file (PHP/JS/CSS/TXT script dump)
AiClientExceptionInterface.php,.php,343,LEGACY / SKIP,SKIP,SKIP,N/A,Legacy non-media file (PHP/JS/CSS/TXT script dump)
Anjani-mam--150x150.jpg,.jpg,4225,ACTIVELY REFERENCED,yuvatejam-media,images/Anjani-mam--150x150.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
Client.php,.php,4391,LEGACY / SKIP,SKIP,SKIP,N/A,Legacy non-media file (PHP/JS/CSS/TXT script dump)
ClientErrorResponseException.php,.php,176,LEGACY / SKIP,SKIP,SKIP,N/A,Legacy non-media file (PHP/JS/CSS/TXT script dump)
ClientException.php,.php,199,LEGACY / SKIP,SKIP,SKIP,N/A,Legacy non-media file (PHP/JS/CSS/TXT script dump)
ClientExceptionInterface.php,.php,202,LEGACY / SKIP,SKIP,SKIP,N/A,Legacy non-media file (PHP/JS/CSS/TXT script dump)
ClientInterface.php,.php,9921,LEGACY / SKIP,SKIP,SKIP,N/A,Legacy non-media file (PHP/JS/CSS/TXT script dump)
ClientWithOptionsInterface.php,.php,1025,LEGACY / SKIP,SKIP,SKIP,N/A,Legacy non-media file (PHP/JS/CSS/TXT script dump)
D.jpg,.jpg,87226,ACTIVELY REFERENCED,yuvatejam-media,images/D.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
Dr.SHAIK-karimulla-Founder-and-Chairman-1014x1024.jpg,.jpg,131167,UNCERTAIN / VARIANT,yuvatejam-media,images/Dr.SHAIK-karimulla-Founder-and-Chairman-1014x1024.jpg,app\page.tsx,Resolution variant of base image 'Dr.SHAIK-karimulla-Founder-and-Chairman.jpg' which is referenced in source
Dr.SHAIK-karimulla-Founder-and-Chairman-150x150.jpg,.jpg,5157,UNCERTAIN / VARIANT,yuvatejam-media,images/Dr.SHAIK-karimulla-Founder-and-Chairman-150x150.jpg,app\page.tsx,Resolution variant of base image 'Dr.SHAIK-karimulla-Founder-and-Chairman.jpg' which is referenced in source
Dr.SHAIK-karimulla-Founder-and-Chairman-297x300.jpg,.jpg,16025,UNCERTAIN / VARIANT,yuvatejam-media,images/Dr.SHAIK-karimulla-Founder-and-Chairman-297x300.jpg,app\page.tsx,Resolution variant of base image 'Dr.SHAIK-karimulla-Founder-and-Chairman.jpg' which is referenced in source
Dr.SHAIK-karimulla-Founder-and-Chairman-768x776.jpg,.jpg,83999,UNCERTAIN / VARIANT,yuvatejam-media,images/Dr.SHAIK-karimulla-Founder-and-Chairman-768x776.jpg,app\page.tsx,Resolution variant of base image 'Dr.SHAIK-karimulla-Founder-and-Chairman.jpg' which is referenced in source
Dr.SHAIK-karimulla-Founder-and-Chairman.jpg,.jpg,101062,ACTIVELY REFERENCED,yuvatejam-media,images/Dr.SHAIK-karimulla-Founder-and-Chairman.jpg,app\page.tsx,Referenced in 1 source file(s)
E.jpg,.jpg,84084,ACTIVELY REFERENCED,yuvatejam-media,images/E.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
Education-Schoogalleryl.png,.png,160143,ACTIVELY REFERENCED,yuvatejam-media,images/Education-Schoogalleryl.png,lib\data\pages-data.ts,Referenced in 1 source file(s)
F.jpg,.jpg,53209,ACTIVELY REFERENCED,yuvatejam-media,images/F.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
FileClient.php,.php,2267,LEGACY / SKIP,SKIP,SKIP,N/A,Legacy non-media file (PHP/JS/CSS/TXT script dump)
G.jpg,.jpg,70242,ACTIVELY REFERENCED,yuvatejam-media,images/G.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
H.jpg,.jpg,54309,ACTIVELY REFERENCED,yuvatejam-media,images/H.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
IMG-20220416-WA0086-150x150.jpg,.jpg,8475,ACTIVELY REFERENCED,yuvatejam-media,images/IMG-20220416-WA0086-150x150.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
IMG-20250204-WA0005-r10528a94ed9pb7cs4d9m4l1mu028cfx032867z1y8.jpg,.jpg,87386,ACTIVELY REFERENCED,yuvatejam-media,images/IMG-20250204-WA0005-r10528a94ed9pb7cs4d9m4l1mu028cfx032867z1y8.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
IMG-20250204-WA0006-r1051f5ca671kxfapd8lx9gmume92ebkrukilr1vs0.jpg,.jpg,168465,ACTIVELY REFERENCED,yuvatejam-media,images/IMG-20250204-WA0006-r1051f5ca671kxfapd8lx9gmume92ebkrukilr1vs0.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
IMG-20250204-WA0100.jpg,.jpg,236802,ACTIVELY REFERENCED,yuvatejam-media,images/IMG-20250204-WA0100.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
IMG-20250204-WA0101.jpg,.jpg,209455,ACTIVELY REFERENCED,yuvatejam-media,images/IMG-20250204-WA0101.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
