filename,extension,file_size_bytes,type_category,target_bucket,target_storage_path
1-1.jpg,.jpg,161609,IMAGE,yuvatejam-media,images/1-1.jpg
1-1024x1024.jpg,.jpg,266677,IMAGE,yuvatejam-media,images/1-1024x1024.jpg
1-2.jpg,.jpg,196679,IMAGE,yuvatejam-media,images/1-2.jpg
1-768x768.jpg,.jpg,157008,IMAGE,yuvatejam-media,images/1-768x768.jpg
1.jpeg,.jpeg,76704,IMAGE,yuvatejam-media,images/1.jpeg
1.jpg,.jpg,60297,IMAGE,yuvatejam-media,images/1.jpg
10-1.jpg,.jpg,123763,IMAGE,yuvatejam-media,images/10-1.jpg
10.jpg,.jpg,97240,IMAGE,yuvatejam-media,images/10.jpg
11-1.jpg,.jpg,104620,IMAGE,yuvatejam-media,images/11-1.jpg
11.jpg,.jpg,110228,IMAGE,yuvatejam-media,images/11.jpg
12-1.jpg,.jpg,71327,IMAGE,yuvatejam-media,images/12-1.jpg
12.jpg,.jpg,87703,IMAGE,yuvatejam-media,images/12.jpg
13-1.jpg,.jpg,64829,IMAGE,yuvatejam-media,images/13-1.jpg
13-2.jpg,.jpg,231887,IMAGE,yuvatejam-media,images/13-2.jpg
13.jpg,.jpg,101073,IMAGE,yuvatejam-media,images/13.jpg
14-2.jpg,.jpg,53553,IMAGE,yuvatejam-media,images/14-2.jpg
14-3.jpg,.jpg,238026,IMAGE,yuvatejam-media,images/14-3.jpg
14.jpg,.jpg,108619,IMAGE,yuvatejam-media,images/14.jpg
15.jpg,.jpg,250145,IMAGE,yuvatejam-media,images/15.jpg
16-1.jpg,.jpg,214375,IMAGE,yuvatejam-media,images/16-1.jpg
16.jpg,.jpg,84270,IMAGE,yuvatejam-media,images/16.jpg
17-1.jpg,.jpg,59607,IMAGE,yuvatejam-media,images/17-1.jpg
17.jpg,.jpg,63479,IMAGE,yuvatejam-media,images/17.jpg
18-1.jpg,.jpg,71748,IMAGE,yuvatejam-media,images/18-1.jpg
18.jpg,.jpg,65781,IMAGE,yuvatejam-media,images/18.jpg
19-e1730004655733.jpg,.jpg,64143,IMAGE,yuvatejam-media,images/19-e1730004655733.jpg
19.jpg,.jpg,73781,IMAGE,yuvatejam-media,images/19.jpg
2-1.jpg,.jpg,63884,IMAGE,yuvatejam-media,images/2-1.jpg
2-2.jpg,.jpg,208275,IMAGE,yuvatejam-media,images/2-2.jpg
2-e1730003683288.jpg,.jpg,94095,IMAGE,yuvatejam-media,images/2-e1730003683288.jpg
20.jpg,.jpg,87218,IMAGE,yuvatejam-media,images/20.jpg
21.jpg,.jpg,138938,IMAGE,yuvatejam-media,images/21.jpg
22.jpg,.jpg,209745,IMAGE,yuvatejam-media,images/22.jpg
23.jpg,.jpg,86870,IMAGE,yuvatejam-media,images/23.jpg
24.jpg,.jpg,124281,IMAGE,yuvatejam-media,images/24.jpg
3-1.jpg,.jpg,177863,IMAGE,yuvatejam-media,images/3-1.jpg
3-1024x767.jpg,.jpg,146322,IMAGE,yuvatejam-media,images/3-1024x767.jpg
3.jpg,.jpg,217948,IMAGE,yuvatejam-media,images/3.jpg
4-1.jpg,.jpg,54487,IMAGE,yuvatejam-media,images/4-1.jpg
4-2.jpg,.jpg,209913,IMAGE,yuvatejam-media,images/4-2.jpg
4.jpg,.jpg,100129,IMAGE,yuvatejam-media,images/4.jpg
5-1.jpg,.jpg,97322,IMAGE,yuvatejam-media,images/5-1.jpg
5.jpg,.jpg,50229,IMAGE,yuvatejam-media,images/5.jpg
6-1.jpg,.jpg,114755,IMAGE,yuvatejam-media,images/6-1.jpg
6-2.jpg,.jpg,224641,IMAGE,yuvatejam-media,images/6-2.jpg
6.jpg,.jpg,113432,IMAGE,yuvatejam-media,images/6.jpg
7-1.jpg,.jpg,101906,IMAGE,yuvatejam-media,images/7-1.jpg
7.jpg,.jpg,110228,IMAGE,yuvatejam-media,images/7.jpg
8-1.jpg,.jpg,44922,IMAGE,yuvatejam-media,images/8-1.jpg
8.jpg,.jpg,85667,IMAGE,yuvatejam-media,images/8.jpg
9-1.jpg,.jpg,118642,IMAGE,yuvatejam-media,images/9-1.jpg
9.jpg,.jpg,59728,IMAGE,yuvatejam-media,images/9.jpg
AbstractClientDiscoveryStrategy.php,.php,2927,LEGACY,SKIP,SKIP
AiClient.php,.php,17360,LEGACY,SKIP,SKIP
AiClientExceptionInterface.php,.php,343,LEGACY,SKIP,SKIP
Anjani-mam--150x150.jpg,.jpg,4225,IMAGE,yuvatejam-media,images/Anjani-mam--150x150.jpg
Client.php,.php,4391,LEGACY,SKIP,SKIP
ClientErrorResponseException.php,.php,176,LEGACY,SKIP,SKIP
ClientException.php,.php,199,LEGACY,SKIP,SKIP
ClientExceptionInterface.php,.php,202,LEGACY,SKIP,SKIP
ClientInterface.php,.php,9921,LEGACY,SKIP,SKIP
ClientWithOptionsInterface.php,.php,1025,LEGACY,SKIP,SKIP
D.jpg,.jpg,87226,IMAGE,yuvatejam-media,images/D.jpg
Dr.SHAIK-karimulla-Founder-and-Chairman-1014x1024.jpg,.jpg,131167,IMAGE,yuvatejam-media,images/Dr.SHAIK-karimulla-Founder-and-Chairman-1014x1024.jpg
Dr.SHAIK-karimulla-Founder-and-Chairman-150x150.jpg,.jpg,5157,IMAGE,yuvatejam-media,images/Dr.SHAIK-karimulla-Founder-and-Chairman-150x150.jpg
Dr.SHAIK-karimulla-Founder-and-Chairman-297x300.jpg,.jpg,16025,IMAGE,yuvatejam-media,images/Dr.SHAIK-karimulla-Founder-and-Chairman-297x300.jpg
Dr.SHAIK-karimulla-Founder-and-Chairman-768x776.jpg,.jpg,83999,IMAGE,yuvatejam-media,images/Dr.SHAIK-karimulla-Founder-and-Chairman-768x776.jpg
Dr.SHAIK-karimulla-Founder-and-Chairman.jpg,.jpg,101062,IMAGE,yuvatejam-media,images/Dr.SHAIK-karimulla-Founder-and-Chairman.jpg
E.jpg,.jpg,84084,IMAGE,yuvatejam-media,images/E.jpg
Education-Schoogalleryl.png,.png,160143,IMAGE,yuvatejam-media,images/Education-Schoogalleryl.png
F.jpg,.jpg,53209,IMAGE,yuvatejam-media,images/F.jpg
FileClient.php,.php,2267,LEGACY,SKIP,SKIP
G.jpg,.jpg,70242,IMAGE,yuvatejam-media,images/G.jpg
H.jpg,.jpg,54309,IMAGE,yuvatejam-media,images/H.jpg
IMG-20220416-WA0086-150x150.jpg,.jpg,8475,IMAGE,yuvatejam-media,images/IMG-20220416-WA0086-150x150.jpg
IMG-20250204-WA0005-r10528a94ed9pb7cs4d9m4l1mu028cfx032867z1y8.jpg,.jpg,87386,IMAGE,yuvatejam-media,images/IMG-20250204-WA0005-r10528a94ed9pb7cs4d9m4l1mu028cfx032867z1y8.jpg
IMG-20250204-WA0006-r1051f5ca671kxfapd8lx9gmume92ebkrukilr1vs0.jpg,.jpg,168465,IMAGE,yuvatejam-media,images/IMG-20250204-WA0006-r1051f5ca671kxfapd8lx9gmume92ebkrukilr1vs0.jpg
IMG-20250204-WA0100.jpg,.jpg,236802,IMAGE,yuvatejam-media,images/IMG-20250204-WA0100.jpg
IMG-20250204-WA0101.jpg,.jpg,209455,IMAGE,yuvatejam-media,images/IMG-20250204-WA0101.jpg
IMG-20250204-WA0102.jpg,.jpg,226617,IMAGE,yuvatejam-media,images/IMG-20250204-WA0102.jpg
IMG-20250206-WA0013-300x169.jpg,.jpg,12007,IMAGE,yuvatejam-media,images/IMG-20250206-WA0013-300x169.jpg
IMG20220416105337-150x150.jpg,.jpg,8402,IMAGE,yuvatejam-media,images/IMG20220416105337-150x150.jpg
IMG20220416105414-150x150.jpg,.jpg,8376,IMAGE,yuvatejam-media,images/IMG20220416105414-150x150.jpg
IMG20220416105427-150x150.jpg,.jpg,8309,IMAGE,yuvatejam-media,images/IMG20220416105427-150x150.jpg
IMG20220416105431-150x150.jpg,.jpg,8481,IMAGE,yuvatejam-media,images/IMG20220416105431-150x150.jpg
IMG20220416105455-150x150.jpg,.jpg,8277,IMAGE,yuvatejam-media,images/IMG20220416105455-150x150.jpg
IMG20220416105634-150x150.jpg,.jpg,6673,IMAGE,yuvatejam-media,images/IMG20220416105634-150x150.jpg
IMG20220726120415-150x150.jpg,.jpg,9345,IMAGE,yuvatejam-media,images/IMG20220726120415-150x150.jpg
IMG20220726120436-150x150.jpg,.jpg,9596,IMAGE,yuvatejam-media,images/IMG20220726120436-150x150.jpg
IMG20220726120533_01-150x150.jpg,.jpg,8733,IMAGE,yuvatejam-media,images/IMG20220726120533_01-150x150.jpg
InconsistentClientTransferException.php,.php,918,LEGACY,SKIP,SKIP
Mahesh-150x150.jpg,.jpg,7652,IMAGE,yuvatejam-media,images/Mahesh-150x150.jpg
Newteam-150x150.jpg,.jpg,23619,IMAGE,yuvatejam-media,images/Newteam-150x150.jpg
Newteam-288x300.jpg,.jpg,38911,IMAGE,yuvatejam-media,images/Newteam-288x300.jpg
Newteam-768x799.jpg,.jpg,111830,IMAGE,yuvatejam-media,images/Newteam-768x799.jpg
Newteam-985x1024.jpg,.jpg,150055,IMAGE,yuvatejam-media,images/Newteam-985x1024.jpg
Newteam.jpg,.jpg,147482,IMAGE,yuvatejam-media,images/Newteam.jpg
Profile-768x866.jpg,.jpg,110166,IMAGE,yuvatejam-media,images/Profile-768x866.jpg
Profile1-768x1102.jpg,.jpg,145650,IMAGE,yuvatejam-media,images/Profile1-768x1102.jpg
Profile2-768x994.jpg,.jpg,130721,IMAGE,yuvatejam-media,images/Profile2-768x994.jpg
Psr18Client.php,.php,4447,LEGACY,SKIP,SKIP
Psr18ClientDiscovery.php,.php,1038,LEGACY,SKIP,SKIP
R-e1753279067440-150x150.jpg,.jpg,5716,IMAGE,yuvatejam-media,images/R-e1753279067440-150x150.jpg
S.Abdul-BaseedTreasurer-1014x1024.jpg,.jpg,71759,IMAGE,yuvatejam-media,images/S.Abdul-BaseedTreasurer-1014x1024.jpg
StaticClient.php,.php,4647,LEGACY,SKIP,SKIP
Trust-Mai-Logo1-150x150.jpg,.jpg,8314,IMAGE,yuvatejam-media,images/Trust-Mai-Logo1-150x150.jpg
Trust-Mai-Logo1-300x157.jpg,.jpg,12564,IMAGE,yuvatejam-media,images/Trust-Mai-Logo1-300x157.jpg
Trust-Mai-Logo1.jpg,.jpg,30235,IMAGE,yuvatejam-media,images/Trust-Mai-Logo1.jpg
Uma-akka-150x150.jpg,.jpg,7123,IMAGE,yuvatejam-media,images/Uma-akka-150x150.jpg
